"","ID","Date","Time","Sol","Ta","Tbe","Tbs","Tbw"
"1",105,197,1230,40.53,21.48,26.57,27.23,26.69
"2",105,197,1240,27.42,20.02,24.19,24.25,24.09
"3",105,197,1250,19.16,18.69,21.32,21.75,21.3
"4",105,197,1300,25.01,18.55,20.46,21.01,20.27
"5",105,197,1310,32.02,19.1,22.02,22.51,21.88
"6",105,197,1320,24.54,18.97,21.11,21.85,21.65
"7",105,197,1330,21.04,18.74,20.7,21.06,20.99
"8",105,197,1340,25.94,19.26,21.67,22.24,21.92
"9",105,197,1350,26.79,19.32,21.34,22.07,22.14
"10",105,197,1400,27.28,19.4,20.86,21.52,21.29
"11",105,197,1410,31.93,19.71,21.31,22.44,20.94
"12",105,197,1420,33.91,20.57,23.06,24.15,22.63
"13",105,197,1430,41.83,21.23,25.16,26.04,24.57
"14",105,197,1440,36.22,21.14,25.14,25.59,24.75
"15",105,197,1450,42,21.88,26.73,27.35,26.15
"16",105,197,1500,43.97,22.35,27.88,28.52,26.99
"17",105,197,1510,44.46,22.5,27.94,28.58,26.74
"18",105,197,1520,48.86,23.17,29.59,30.48,27.61
"19",105,197,1530,54.24,23.76,30.07,31.17,27.85
"20",105,197,1540,56.35,24.71,30.89,32.03,29.97
"21",105,197,1550,55.97,24.55,31.66,32.96,29.88
"22",105,197,1600,52.14,24.83,31.41,32.61,29.92
"23",105,197,1610,47.22,24.42,30.31,31.22,28.79
"24",105,197,1620,55.53,25.85,32.11,33.94,30.79
"25",105,197,1630,63.21,25.51,32.42,34.31,29.86
"26",105,197,1640,68.63,26.69,34.72,37.3,30.86
"27",105,197,1650,55.99,25.86,32.17,34.76,29.38
"28",105,197,1700,59.93,26.46,33.15,36.54,29.12
"29",105,197,1710,53.63,26.43,32.65,36.26,29.05
"30",105,197,1720,40.51,25.59,30.3,32.72,28.1
"31",105,197,1730,26.67,24.51,27.82,29.14,26.87
"32",105,197,1740,30.82,24.73,27.59,29.74,26.92
"33",105,197,1750,25.89,24.47,27.14,28.71,26.65
"34",105,197,1800,23.33,24.18,26.18,27.78,26.01
"35",105,197,1810,25.34,24.66,26.59,29.04,27.11
"36",105,197,1820,24.43,24.87,25.94,28.99,27.31
"37",105,197,1830,15.93,23.81,24.64,26.77,25.63
"38",105,197,1840,12.91,23.61,24.67,25.79,25.09
"39",105,197,1850,10.87,23.14,24.08,24.78,24.37
"40",105,197,1900,10.41,22.76,23.75,24.18,23.79
"41",105,197,1910,7.9,21.81,22.56,22.8,22.62
"42",105,197,1920,6.323,21.14,21.54,21.7,21.53
"43",105,197,1930,4.932,20.82,21.03,21.19,21.06
"44",105,197,1940,4.256,20.27,20.36,20.49,20.42
"45",105,197,1950,2.874,20.04,19.85,19.95,19.92
"46",105,197,2000,2.595,20.18,19.78,19.91,19.88
"47",105,197,2010,2.395,20.23,19.83,19.97,19.96
"48",105,197,2020,1.996,20.06,19.61,19.73,19.75
"49",105,197,2030,2.005,19.8,19.31,19.42,19.45
"50",105,197,2040,0.983,19.58,19.06,19.16,19.2
"51",105,197,2050,0.277,19.25,18.59,18.64,18.73
"52",105,197,2100,0.105,19.18,18.42,18.5,18.58
"53",105,197,2110,0.026,19.25,18.47,18.6,18.67
"54",105,197,2120,-0.002,18.88,18.18,18.27,18.38
"55",105,197,2130,-0.019,18.72,18.04,18.14,18.24
"56",105,197,2140,-0.018,18.34,17.73,17.85,17.91
"57",105,197,2150,-0.017,18.4,17.67,17.83,17.86
"58",105,197,2200,-0.015,18.19,17.52,17.69,17.75
"59",105,197,2210,-0.01,18.33,17.54,17.74,17.79
"60",105,197,2220,-0.015,17.61,17.09,17.21,17.3
"61",105,197,2230,-0.008,18.61,17.71,17.93,17.9
"62",105,197,2240,-0.008,19.02,18.22,18.44,18.42
"63",105,197,2250,-0.013,19.43,18.62,18.8,18.85
"64",105,197,2300,-0.012,19.57,18.94,19.08,19.13
"65",105,197,2310,-0.011,19.35,18.77,18.85,18.92
"66",105,197,2320,-0.012,19.52,18.69,19.02,18.94
"67",105,197,2330,-0.009,19.26,18.63,18.75,18.74
"68",105,197,2340,-0.013,18.37,17.94,17.89,17.95
"69",105,197,2350,-0.014,17.6,17.21,17.25,17.33
